Abaca, n., The Manila-hemp plant (Musa textilis); also
Aback, adv., Toward the back or rear; backward.
Aback, adv., Behind; in the rear.
Aback, adv., Backward against the mast; -- said of the sails when pressed by the wind.
Aback, n., An abacus.
Abaci, pl., of Abacus
Abada, n., The rhinoceros.
Abaft, prep., Behind; toward the stern from; as
Abaft, adv., Toward the stern; aft; as
Aband, v. t., To abandon.
Aband, v. t., To banish; to expel.
Abase, a., To lower or depress; to throw or cast down; as
Abase, a., To cast down or reduce low or lower
Abash, v. t., To destroy the self-possession of; to confuse or confound
Abate, v. t., To beat down; to overthrow.
Abate, v. t., To bring down or reduce from a higher to a lower state
Abate, v. t., To deduct; to omit; as
Abate, v. t., To blunt.
Abate, v. t., To reduce in estimation; to deprive.
Abate, v. t., To bring entirely down or put an end to; to do away with; as
Abate, v. t., To diminish; to reduce. Legacies are liable to be abated entirely or in proportion
Abate, v. t., To decrease
Abate, v. t., To be defeated
Abate, n., Abatement.
Abbey, n., A monastery or society of persons of either sex
Abbey, n., The church of a monastery.
Abbot, n., The superior or head of an abbey.
Abbot, n., One of a class of bishops whose sees were formerly abbeys.
A B C, , The first three letters of the alphabet
A B C, , A primer for teaching the alphabet and first elements of reading.
A B C, , The simplest rudiments of any subject; as
Abdal, n., A religious devotee or dervish in Persia.
Abeam, adv., On the beam
Abear, v. t., To bear; to behave.
Abear, v. t., To put up with; to endure.
Abele, n., The white poplar (Populus alba).
Aberr, v. i., To wander; to stray.
Abhal, n., The berries of a species of cypress in the East Indies.
Abhor, v. t., To shrink back with shuddering from; to regard with horror or detestation; to feel excessive repugnance toward; to detest to extremity; to loathe.
Abhor, v. t., To fill with horror or disgust.
Abhor, v. t., To protest against; to reject solemnly.
Abhor, v. i., To shrink back with horror
Abode, imp. & p. p., of Abide
Abide, v. i., To wait; to pause; to delay.
Abide, v. i., To stay; to continue in a place; to have one's abode; to dwell; to sojourn; -- with with before a person
Abide, v. i., To remain stable or fixed in some state or condition; to continue; to remain.
Abide, v. t., To wait for; to be prepared for; to await; to watch for; as
Abide, v. t., To endure; to sustain; to submit to.
Abide, v. t., To bear patiently; to tolerate; to put up with.
Abide, v. t., To stand the consequences of; to answer for; to suffer for.
Abies, n., A genus of coniferous trees
Abime, n., Alt. of Abyme
Abyme, n., A abyss.
-able, , An adjective suffix now usually in a passive sense; able to be; fit to be; expressing capacity or worthiness in a passive sense; as
Abler, a., comp. of Able.
Abler, a., superl. of Able.
Ablet, , Alt. of Ablen
Ablen, , A small fresh-water fish (Leuciscus alburnus); the bleak.
-ably, , A suffix composed of -able and the adverbial suffix -ly; as
Abnet, n., The girdle of a Jewish priest or officer.
Abode, , pret. of Abide.
Abode, n., Act of waiting; delay.
Abode, n., Stay or continuance in a place; sojourn.
Abode, n., Place of continuance
Abode, v. t., An omen.
Abode, v. t., To bode; to foreshow.
Abode, v. i., To be ominous.
Aboma, n., A large South American serpent (Boa aboma).
Aboon, prep., and adv. Above.
Abord, n., Manner of approaching or accosting; address.
Abord, v. t., To approach; to accost.
Abort, v. i., To miscarry; to bring forth young prematurely.
Abort, v. i., To become checked in normal development
Abort, n., An untimely birth.
Abort, n., An aborted offspring.
About, prep., Around; all round; on every side of.
About, prep., In the immediate neighborhood of; in contiguity or proximity to; near
About, prep., Over or upon different parts of; through or over in various directions; here and there in; to and fro in; throughout.
About, prep., Near; not far from; -- determining approximately time
About, prep., In concern with; engaged in; intent on.
About, prep., On the point or verge of; going; in act of.
About, prep., Concerning; with regard to; on account of; touching.
About, adv., On all sides; around.
About, adv., In circuit; circularly; by a circuitous way; around the outside; as
About, adv., Here and there; around; in one place and another.
About, adv., Nearly; approximately; with close correspondence
About, adv., To a reserved position; half round; in the opposite direction; on the opposite tack; as
Above, prep., In or to a higher place; higher than; on or over the upper surface; over; -- opposed to below or beneath.
Above, prep., Figuratively
Above, prep., Surpassing in number or quantity; more than; as
Above, adv., In a higher place; overhead; into or from heaven; as
Above, adv., Earlier in order; higher in the same page; hence
Above, adv., Higher in rank or power; as
Above, adv., More than; as
Abray, v., See Abraid.
Absis, n., See Apsis.
Abuna, n., The Patriarch
Abuse, v. t., To put to a wrong use; to misapply; to misuse; to put to a bad use; to use for a wrong purpose or end; to pervert; as
Abuse, v. t., To use ill; to maltreat; to act injuriously to; to punish or to tax excessively; to hurt; as
Abuse, v. t., To revile; to reproach coarsely; to disparage.
Abuse, v. t., To dishonor.
Abuse, v. t., To violate; to ravish.
Abuse, v. t., To deceive; to impose on.
Abuse, v. t., Improper treatment or use; application to a wrong or bad purpose; misuse; as
Abuse, v. t., Physical ill treatment; injury.
Abuse, v. t., A corrupt practice or custom; offense; crime; fault; as
Abuse, v. t., Vituperative words; coarse
Abuse, v. t., Violation; rape; as
Abuzz, a., In a buzz; buzzing.
Abysm, n., An abyss; a gulf.
Abyss, n., A bottomless or unfathomed depth
Abyss, n., Infinite time; a vast intellectual or moral depth.
Abyss, n., The center of an escutcheon.
Acari, pl., of Acarus
Accoy, v. t., To render quiet; to soothe.
Accoy, v. t., To subdue; to tame; to daunt.
Acerb, a., Sour
Ached, imp. & p. p., of Ache
Acini, pl., of Acinus
Acock, adv., In a cocked or turned up fashion.
Acold, a., Cold.
Acorn, n., The fruit of the oak
Acorn, n., A cone-shaped piece of wood on the point of the spindle above the vane
Acorn, n., See Acorn-shell.
Acred, a., Possessing acres or landed property; -- used in composition; as
Acrid, a., Sharp and harsh
Acrid, a., Causing heat and irritation; corrosive; as
Acrid, a., Caustic; bitter; bitterly irritating; as
Acted, imp. & p. p., of Act
Acton, n., A stuffed jacket worn under the mail
Actor, n., One who acts
Actor, n., A theatrical performer; a stageplayer.
Actor, n., An advocate or proctor in civil courts or causes.
Actor, n., One who institutes a suit; plaintiff or complainant.
Acute, a., Sharp at the end; ending in a sharp point; pointed; -- opposed to blunt or obtuse; as
Acute, a., Having nice discernment; perceiving or using minute distinctions; penetrating; clever; shrewd; -- opposed to dull or stupid; as
Acute, a., Having nice or quick sensibility; susceptible to slight impressions; acting keenly on the senses; sharp; keen; intense; as
Acute, a., High
Acute, a., Attended with symptoms of some degree of severity
Acute, v. t., To give an acute sound to; as
Adact, v. t., To compel; to drive.
Adage, n., An old saying
Adapt, a., Fitted; suited.
Adapt, v. t., To make suitable; to fit
Adays, adv., By day
Added, imp. & p. p., of Add
Addax, n., One of the largest African antelopes (Hippotragus
Adder, n., One who
Adder, n., A serpent.
Adder, n., A small venomous serpent of the genus Vipera. The common European adder is the Vipera (/ Pelias) berus. The puff adders of Africa are species of Clotho.
Adder, n., In America
Adder, n., Same as Sea Adder.
Addle, n., Liquid filth; mire.
Addle, n., Lees; dregs.
Addle, a., Having lost the power of development
Addle, v. t. & i., To make addle; to grow addle; to muddle; as
Addle, v. t. & i., To earn by labor.
Addle, v. t. & i., To thrive or grow; to ripen.
Adeem, v. t., To revoke
Aden-, , Alt. of Adeno-
Adeps, n., Animal fat; lard.
Adept, n., One fully skilled or well versed in anything; a proficient; as
Adept, a., Well skilled; completely versed; thoroughly proficient.
Adieu, interj. & adv., Good-by; farewell; an expression of kind wishes at parting.
Adieu, n., A farewell; commendation to the care of God at parting.
Admit, v. t., To suffer to enter; to grant entrance
Admit, v. t., To give a right of entrance; as
Admit, v. t., To allow (one) to enter on an office or to enjoy a privilege; to recognize as qualified for a franchise; as
Admit, v. t., To concede as true; to acknowledge or assent to
Admit, v. t., To be capable of; to permit; as
Admix, v. t., To mingle with something else; to mix.
Adobe, n., An unburnt brick dried in the sun; also used as an adjective
Adoor, , Alt. of Adoors
Adopt, v. t., To take by choice into relationship
Adopt, v. t., To take or receive as one's own what is not so naturally; to select and take or approve; as
Adore, v. t., To worship with profound reverence; to pay divine honors to; to honor as deity or as divine.
Adore, v. t., To love in the highest degree; to regard with the utmost esteem and affection; to idolize.
Adore, v. t., To adorn.
Adorn, v. t., To deck or dress with ornaments; to embellish; to set off to advantage; to render pleasing or attractive.
Adorn, n., Adornment.
Adorn, a., Adorned; decorated.
Adown, adv., From a higher to a lower situation; downward; down
Adown, prep., Down.
Adrad, p. a., Put in dread; afraid.
Adrip, adv. & a., In a dripping state; as
Adult, a., Having arrived at maturity
Adult, n., A person
Adunc, a., Alt. of Adunque
Adure, v. t., To burn up.
Adust, a., Inflamed or scorched; fiery.
Adust, a., Looking as if or scorched; sunburnt.
Adust, a., Having much heat in the constitution and little serum in the blood. [Obs.] Hence: Atrabilious; sallow; gloomy.
Adyta, pl., of Adytum
Aegis, n., A shield or protective armor; -- applied in mythology to the shield of Jupiter which he gave to Minerva. Also fig.: A shield; a protection.
Aerie, n., The nest of a bird of prey
Aero-, , The combining form of the Greek word meaning air.
Affix, v. t., To subjoin
Affix, v. t., To fix or fasten in any way; to attach physically.
Affix, v. t., To attach
Affix, v. t., To fix or fasten figuratively; -- with on or upon; as
Affix, n., That which is affixed; an appendage; esp. one or more letters or syllables added at the end of a word; a suffix; a postfix.
Afire, adv. & a., On fire.
Aflat, adv., Level with the ground; flat.
Aflow, adv. & a., Flowing.
Afoam, adv. & a., In a foaming state; as
Afoot, adv., On foot.
Afoot, adv., Fig.: In motion; in action; astir; in progress.
Afore, adv., Before.
Afore, adv., In the fore part of a vessel.
Afore, prep., Before (in all its senses).
Afore, prep., Before; in front of; farther forward than; as
Afoul, adv. & a., In collision; entangled.
Afric, a., African.
Afric, n., Africa.
Afrit, n., Alt. of Afreet
After, a., Next; later in time; subsequent; succeeding; as
After, a., Hinder; nearer the rear.
After, a., To ward the stern of the ship; -- applied to any object in the rear part of a vessel; as the after cabin
After, prep., Behind in place; as
After, prep., Below in rank; next to in order.
After, prep., Later in time; subsequent; as
After, prep., Subsequent to and in consequence of; as
After, prep., Subsequent to and notwithstanding; as
After, prep., Moving toward from behind; following
After, prep., Denoting the aim or object; concerning; in relation to; as
After, prep., In imitation of; in conformity with; after the manner of; as
After, prep., According to; in accordance with; in conformity with the nature of; as
After, prep., According to the direction and influence of; in proportion to; befitting.
After, adv., Subsequently in time or place; behind; afterward; as
Again, adv., In return
Again, adv., Another time; once more; anew.
Again, adv., Once repeated; -- of quantity; as
Again, adv., In any other place.
Again, adv., On the other hand.
Again, adv., Moreover; besides; further.
Again, prep., Alt. of Agains
Agama, n., A genus of lizards
Agami, n., A South American bird (Psophia crepitans)
Agape, adv. & a., Gaping
Agape, n., The love feast of the primitive Christians
Agasp, adv. & a., In a state of gasping.
Agast, v. t., Alt. of Aghast
Agast, p. p. & a., See Aghast.
Agate, adv., On the way; agoing; as
Agate, n., A semipellucid
Agate, n., A kind of type
Agate, n., A diminutive person; so called in allusion to the small figures cut in agate for rings and seals.
Agate, n., A tool used by gold-wire drawers
Agaty, a., Of the nature of agate
Agave, n., A genus of plants (order Amaryllidaceae) of which the chief species is the maguey or century plant (A. Americana)
Aging, p. pr. & vb. n., of Age
Agend, n., See Agendum.
Agent, a., Acting; -- opposed to patient
Agent, n., One who exerts power
Agent, n., One who acts for
Agent, n., An active power or cause; that which has the power to produce an effect; as
Agger, n., An earthwork; a mound; a raised work.
Aggry, a., Alt. of Aggri
Aggri, a., Applied to a kind of variegated glass beads of ancient manufacture; as
Agile, a., Having the faculty of quick motion in the limbs; apt or ready to move; nimble; active; as
Agios, pl., of Agio
Agist, v. t., To take to graze or pasture
Aglet, n., Alt. of Aiglet
Agley, adv., Aside; askew.
Aglow, adv. & a., In a glow; glowing; as
Agnus, n., Agnus Dei.
Agone, a. & adv., Ago.
Agone, n., Agonic line.
Agony, n., Violent contest or striving.
Agony, n., Pain so extreme as to cause writhing or contortions of the body
Agony, n., Paroxysm of joy; keen emotion.
Agony, n., The last struggle of life; death struggle.
Agood, adv., In earnest; heartily.
Agora, n., An assembly; hence
Agree, adv., In good part; kindly.
Agree, v. i., To harmonize in opinion
Agree, v. i., To yield assent; to accede; -- followed by to; as
Agree, v. i., To make a stipulation by way of settling differences or determining a price; to exchange promises; to come to terms or to a common resolve; to promise.
Agree, v. i., To be conformable; to resemble; to coincide; to correspond; as
Agree, v. i., To suit or be adapted in its effects; to do well; as
Agree, v. i., To correspond in gender
Agree, v. t., To make harmonious; to reconcile or make friends.
Agree, v. t., To admit
Agrin, adv. & a., In the act of grinning.
Agrom, n., A disease occurring in Bengal and other parts of the East Indies
Agued, imp. & p. p., of Ague
Agush, adv. & a., In a gushing state.
Ahead, adv., In or to the front; in advance; onward.
Ahead, adv., Headlong; without restraint.
Aheap, adv., In a heap; huddled together.
Ahigh, adv., On high.
Ahold, adv., Near the wind; as
Ahull, adv., With the sails furled
Aided, imp. & p. p., of Aid
Aider, n., One who
Aigre, a., Sour.
Ailed, imp. & p. p., of Ail
Aimed, imp. & p. p., of Aim
Aimer, n., One who aims
Ain't, , A contraction for are not and am not; also used for is not. [Colloq. or illiterate speech]. See An't.
Aired, imp. & p. p., of Air
Airer, n., One who exposes to the air.
Airer, n., A frame on which clothes are aired or dried.
Aisle, n., A lateral division of a building
Aisle, n., Improperly used also for the have; -- as in the phrases
Aisle, n., Also (perhaps from confusion with alley)
Aitch, n., The letter h or H.
Akene, n., Same as Achene.
Aknee, adv., On the knee.
Aknow, , Earlier form of Acknow.
Alack, interj., An exclamation expressive of sorrow.
Aland, adv., On land; to the land; ashore.
Alarm, n., A summons to arms
Alarm, n., Any sound or information intended to give notice of approaching danger; a warning sound to arouse attention; a warning of danger.
Alarm, n., A sudden attack; disturbance; broil.
Alarm, n., Sudden surprise with fear or terror excited by apprehension of danger; in the military use
Alarm, n., A mechanical contrivance for awaking persons from sleep
Alarm, v. t., To call to arms for defense; to give notice to (any one) of approaching danger; to rouse to vigilance and action; to put on the alert.
Alarm, v. t., To keep in excitement; to disturb.
Alarm, v. t., To surprise with apprehension of danger; to fill with anxiety in regard to threatening evil; to excite with sudden fear.
Alary, a., Of or pertaining to wings; also
Alate, adv., Lately; of late.
Alate, a., Alt. of Alated
Alban, n., A white crystalline resinous substance extracted from gutta-percha by the action of alcohol or ether.
Albee, conj., Although; albeit.
Album, n., A white tablet on which anything was inscribed
Album, n., A register for visitors' names; a visitors' book.
Album, n., A blank book
Albyn, n., Scotland; esp. the Highlands of Scotland.
Alday, adv., Continually.
Alder, n., A tree
Alder, a., Alt. of Aller
Aller, a., Of all; -- used in composition; as
Aleak, adv. & a., In a leaking condition.
Alert, a., Watchful; vigilant; active in vigilance.
Alert, a., Brisk; nimble; moving with celerity.
Alert, n., An alarm from a real or threatened attack; a sudden attack; also
Alfet, n., A caldron of boiling water into which an accused person plunged his forearm as a test of innocence or guilt.
Algae, pl., of Alga
Algal, a., Pertaining to
Algid, a., Cold; chilly.
Algol, n., A fixed star
Algor, n., Cold; chilliness.
Algum, n., Same as Almug (and etymologically preferable).
Alias, adv., Otherwise; otherwise called; -- a term used in legal proceedings to connect the different names of any one who has gone by two or more
Alias, adv., At another time.
Alias, n., A second or further writ which is issued after a first writ has expired without effect.
Alias, n., Another name; an assumed name.
Alibi, n., The plea or mode of defense under which a person on trial for a crime proves or attempts to prove that he was in another place when the alleged act was committed; as
Alien, a., Not belonging to the same country
Alien, a., Wholly different in nature; foreign; adverse; inconsistent (with); incongruous; -- followed by from or sometimes by to; as
Alien, n., A foreigner; one owing allegiance
Alien, n., One excluded from certain privileges; one alienated or estranged; as
Alien, v. t., To alienate; to estrange; to transfer
Alife, adv., On my life; dearly.
Align, v. t., To adjust or form to a line; to range or form in line; to bring into line; to aline.
Align, v. t., To form in line; to fall into line.
Alike, a., Having resemblance or similitude; similar; without difference.
Alike, adv., In the same manner
Aline, v. t., To range or place in a line; to bring into line; to align.
Alish, a., Like ale; as
Alive, a., Having life
Alive, a., In a state of action; in force or operation; unextinguished; unexpired; existent; as
Alive, a., Exhibiting the activity and motion of many living beings; swarming; thronged.
Alive, a., Sprightly; lively; brisk.
Alive, a., Having susceptibility; easily impressed; having lively feelings
Alive, a., Of all living (by way of emphasis).
Allah, n., The name of the Supreme Being
Allay, v. t., To make quiet or put at rest; to pacify or appease; to quell; to calm; as
Allay, v. t., To alleviate; to abate; to mitigate; as
Allay, v. t., To diminish in strength; to abate; to subside.
Allay, n., Alleviation; abatement; check.
Allay, n., Alloy.
Allay, v. t., To mix (metals); to mix with a baser metal; to alloy; to deteriorate.
Aller, a., Same as Alder
Alley, n., A narrow passage; especially a walk or passage in a garden or park
Alley, n., A narrow passage or way in a city
Alley, n., A passageway between rows of pews in a church.
Alley, n., Any passage having the entrance represented as wider than the exit
Alley, n., The space between two rows of compositors' stands in a printing office.
Alley, n., A choice taw or marble.
Allis, n., The European shad (Clupea vulgaris); allice shad. See Alose.
Allod, n., See Allodium.
Alloo, v. t. / i., To incite dogs by a call; to halloo.
Allot, v. t., To distribute by lot.
Allot, v. t., To distribute
Allow, v. t., To praise; to approve of; hence
Allow, v. t., To like; to be suited or pleased with.
Allow, v. t., To sanction; to invest; to intrust.
Allow, v. t., To grant
Allow, v. t., To own or acknowledge; to accept as true; to concede; to accede to an opinion; as
Allow, v. t., To grant (something) as a deduction or an addition; esp. to abate or deduct; as
Allow, v. t., To grant license to; to permit; to consent to; as
Allow, v. i., To admit; to concede; to make allowance or abatement.
Alloy, v. t., Any combination or compound of metals fused together; a mixture of metals; for example
Alloy, v. t., The quality
Alloy, v. t., A baser metal mixed with a finer.
Alloy, v. t., Admixture of anything which lessens the value or detracts from; as
Alloy, v. t., To reduce the purity of by mixing with a less valuable substance; as
Alloy, v. t., To mix
Alloy, v. t., To abate
Alloy, v. t., To form a metallic compound.
Allyl, n., An organic radical
Almah, n., Same as Alme.
Alman, n., A German.
Alman, adj., German.
Alman, adj., The German language.
Alman, adj., A kind of dance. See Allemande.
Almeh, n., An Egyptian dancing girl; an Alma.
Almry, n., See Almonry.
Almug, n., Alt. of Algum
Algum, n., A tree or wood of the Bible (2 Chron. ii. 8; 1 K. x. 11).
Aloes, pl., of Aloe
Aloft, adv., On high; in the air; high above the ground.
Aloft, adv., In the top; at the mast head
Aloft, prep., Above; on top of.
Alogy, n., Unreasonableness; absurdity.
Aloin, n., A bitter purgative principle in aloes.
Alone, a., Quite by one's self; apart from
Alone, a., Of or by itself; by themselves; without any thing more or any one else; without a sharer; only.
Alone, a., Sole; only; exclusive.
Alone, a., Hence; Unique; rare; matchless.
Alone, adv., Solely; simply; exclusively.
Along, adv., By the length; in a line with the length; lengthwise.
Along, adv., In a line
Along, adv., In company; together.
Along, prep., By the length of
Along, , (Now heard only in the prep. phrase along of.)
Aloof, n., Same as Alewife.
Aloof, adv., At or from a distance
Aloof, adv., Without sympathy; unfavorably.
Aloof, prep., Away from; clear from.
Alose, v. t., To praise.
Alose, n., The European shad (Clupea alosa); -- called also allice shad or allis shad. The name is sometimes applied to the American shad (Clupea sapidissima). See Shad.
Aloud, adv., With a loud voice
Alpen, a., Of or pertaining to the Alps.
Alpha, n., The first letter in the Greek alphabet
Alpia, n., The seed of canary grass (Phalaris Canariensis)
Altar, n., A raised structure (as a square or oblong erection of stone or wood) on which sacrifices are offered or incense burned to a deity.
Altar, n., In the Christian church
Alter, v. t., To make otherwise; to change in some respect
Alter, v. t., To agitate; to affect mentally.
Alter, v. t., To geld.
Alter, v. i., To become
Altho, conj., Although.
Altos, pl., of Alto
Alula, n., A false or bastard wing. See under Bastard.
Alure, n., A walk or passage; -- applied to passages of various kinds.
Alvei, pl., of Alveus
Alway, adv., Always.
Amain, n., With might; with full force; vigorously; violently; exceedingly.
Amain, n., At full speed; in great haste; also
Amain, v. t., To lower
Amain, v. i., To lower the topsail
Amass, v. t., To collect into a mass or heap; to gather a great quantity of; to accumulate; as
Amass, n., A mass; a heap.
Amate, v. t., To dismay; to dishearten; to daunt.
Amate, v. t., To be a mate to; to match.
Amaze, v. t., To bewilder; to stupefy; to bring into a maze.
Amaze, v. t., To confound
Amaze, v. i., To be astounded.
Amaze, v. t., Bewilderment
Ambi-, , A prefix meaning about
Amber, n., A yellowish translucent resin resembling copal
Amber, n., Amber color
Amber, n., Ambergris.
Amber, n., The balsam
Amber, a., Consisting of amber; made of amber.
Amber, a., Resembling amber
Amber, v. t., To scent or flavor with ambergris; as
Amber, v. t., To preserve in amber; as
Ambit, n., Circuit or compass.
Amble, v. i., To go at the easy gait called an amble; -- applied to the horse or to its rider.
Amble, v. i., To move somewhat like an ambling horse; to go easily or without hard shocks.
Amble, n., A peculiar gait of a horse
Amble, n., A movement like the amble of a horse.
Ambos, pl., of Ambo
Ambon, n., Same as Ambo.
Ambry, n., In churches
Ambry, n., A store closet
Ambry, n., Almonry.
Ameer, n., Alt. of Amir
Amend, v. t., To change or modify in any way for the better
Amend, v. t., by simply removing what is erroneous
Amend, v. t., by supplying deficiencies;
Amend, v. t., by substituting something else in the place of what is removed; to rectify.
Amend, v. i., To grow better by rectifying something wrong in manners or morals; to improve.
Ament, n., A species of inflorescence; a catkin.
Amess, n., Amice
Amice, n., A square of white linen worn at first on the head
Amice, n., A hood
Amide, n., A compound formed by the union of amidogen with an acid element or radical. It may also be regarded as ammonia in which one or more hydrogen atoms have been replaced by an acid atom or radical.
Amido, a., Containing
Amine, n., One of a class of strongly basic substances derived from ammonia by replacement of one or more hydrogen atoms by a basic atom or radical.
Amiss, adv., Astray; faultily; improperly; wrongly; ill.
Amiss, a., Wrong; faulty; out of order; improper; as
Amiss, n., A fault
Amity, n., Friendship
Among, prep., Alt. of Amongst
Amort, a., As if dead; lifeless; spiritless; dejected; depressed.
Amour, n., Love; affection.
Amour, n., Love making; a love affair; usually
Amove, v. t., To remove
Amove, v. t., To dismiss from an office or station.
Amove, v. t. & i., To move or be moved; to excite.
Ample, a., Large; great in size
Ample, a., Fully sufficient; abundant; liberal; copious; as
